Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0805,2,10uF,C15850
C10,0805,1,22uF,C45783
"C11, C13, C14, C15, C16, C4, C6, C8, C9",0805,9,0.1uF,C49678
C2,0805,1,470pF,C1740
C3,0805,1,2.2uF,C1806
C5,0805,1,4.7uF,C1822
C7,0805,1,2.2nF,C1653
D1,D_SMB,1,SS34,C8599
"D10, D11, D8, D9",D_SMA,4,SS24,C8598
D2,0603,1,CHG,C2286
D3,0603,1,CHG_FULL,C2297
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Socket,C166021
"J3, J4, J5, J6",SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm,4,Conn_01x02_Socket,
Q1,SOT-23,1,AO3401A,C15127
"Q2, Q3",SOT-23,2,SS8050,C181090
"Q4, Q5, Q6, Q7",SOT-23,4,AO3400A,C20917
"R10, R11",0603,2,0k,C21189
"R12, R13, R16, R21, R23, R25, R27, R28, R29",0603,9,10k,C25804
"R14, R15",0603,2,2.2k,C4184
R17,0603,1,3.3k,C22978
"R18, R19",0603,2,1.3k,C4182
"R20, R22, R24, R26",0603,4,1k,C21190
"R3, R4, R5, R6",0603,4,100k,C25803
"R30, R31",0603,2,5.1k,C23186
R7,0603,1,1k,C22706
R8,0603,1,22k,C25879
R9,0603,1,47k,C25819
SW1,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,JS102011SAQN
U1,SOT-23-5,1,MIC5219-3.3YM5,C89366
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C2652470
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U4,ESP32-WROOM-32D,1,ESP32-WROOM-32D,C473012
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
