Designator,Mid X,Mid Y,Rotation,Layer
C1,242.0,-110.5,0.0,top
C10,256.5,-141.95,270.0,top
C11,254.0,-142.05,270.0,top
C12,257.5,-124.5,180.0,top
C13,258.0,-132.0,0.0,top
C14,227.0,-133.0,90.0,top
C15,260.55,-103.5,0.0,top
C16,226.0,-103.0,0.0,top
C2,252.5,-116.0,0.0,top
C3,256.5,-114.5,270.0,top
C4,236.0,-107.0,90.0,top
C5,232.0,-107.0,180.0,top
C6,241.95,-113.8,180.0,top
C7,242.0,-122.25,180.0,top
C8,239.5,-117.95,270.0,top
C9,255.05,-138.5,0.0,top
D1,243.0225,-106.5,0.0,top
D10,258.9,-100.0,0.0,top
D11,227.0,-100.0,0.0,top
D2,250.2125,-97.3,0.0,top
D3,250.2125,-95.7,0.0,top
D8,262.5,-136.0,90.0,top
D9,224.0,-136.0,90.0,top
J1,243.0,-98.65,180.0,top
J2,261.55,-123.5,270.0,top
J3,265.9,-135.7,90.0,top
J4,220.0,-135.7,90.0,top
J5,258.9,-96.5,0.0,top
J6,226.9,-96.5,0.0,top
Q1,257.5,-106.5,270.0,top
Q2,221.675,-118.5625,270.0,top
Q3,221.675,-128.5625,90.0,top
Q4,261.7625,-129.5,180.0,top
Q5,229.0,-137.75,180.0,top
Q6,265.0,-102.0,270.0,top
Q7,234.0625,-97.05,0.0,top
R10,232.5,-118.0,270.0,top
R11,231.0,-118.0,270.0,top
R12,220.5,-122.045833,90.0,top
R13,223.0,-125.079167,270.0,top
R14,232.0,-137.0,270.0,top
R15,232.0,-140.25,90.0,top
R16,238.0,-122.5,0.0,top
R17,250.675,-107.0,180.0,top
R18,253.325,-97.3,0.0,top
R19,253.325,-95.8,180.0,top
R20,254.0,-125.3,90.0,top
R21,251.1,-123.0,0.0,top
R22,225.5,-142.5,180.0,top
R23,225.5,-140.5,180.0,top
R24,264.0,-106.5,90.0,top
R25,261.5,-108.825,90.0,top
R26,234.175,-100.0,0.0,top
R27,234.175,-102.0,0.0,top
R28,258.0,-138.5,270.0,top
R29,232.0,-126.0,90.0,top
R3,246.0,-110.5,0.0,top
R30,248.0,-105.5,270.0,top
R31,238.5,-105.675,270.0,top
R4,255.0,-134.0,180.0,top
R5,255.0,-136.0,0.0,top
R6,259.5,-110.5,90.0,top
R7,226.5,-109.0,0.0,top
R8,226.5,-107.0,0.0,top
R9,226.5,-111.0,180.0,top
SW1,265.5,-114.5,90.0,top
U1,252.5,-112.5,90.0,top
U2,231.95,-112.0,270.0,top
U3,243.55,-118.25,180.0,top
U4,243.0,-135.15,180.0,top
U5,251.675,-102.4,0.0,top
